"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",0
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0
1605,"1111605","Paredes de Coura",0
1606,"1111606","Ponte da Barca",0
1607,"1111607","Ponte de Lima",0
1608,"1111608","Valença",0
1609,"1111609","Viana do Castelo",0
1610,"1111610","Vila Nova de Cerveira",0
301,"1120301","Amares",0
302,"1120302","Barcelos",0
303,"1120303","Braga",0
306,"1120306","Esposende",0
310,"1120310","Terras de Bouro",0
313,"1120313","Vila Verde",0
307,"1130307","Fafe",0
308,"1130308","Guimarães",0
309,"1130309","Póvoa de Lanhoso",0
1314,"1131314","Santo Tirso",10.55
1318,"1131318","Trofa",0
311,"1130311","Vieira do Minho",0
312,"1130312","Vila Nova de Famalicão",0
314,"1130314","Vizela",3.52
107,"1140107","Espinho",0
1304,"1141304","Gondomar",0
1306,"1141306","Maia",0
1308,"1141308","Matosinhos",0
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",0
1316,"1141316","Vila do Conde",0
1317,"1141317","Vila Nova de Gaia",0
1301,"1151301","Amarante",3.52
1302,"1151302","Baião",14.07
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",7.03
305,"1150305","Celorico de Basto",7.03
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",0
1305,"1151305","Lousada",0
1307,"1151307","Marco de Canaveses",45.71
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",0
1310,"1151310","Paredes",0
1311,"1151311","Penafiel",14.07
1813,"1151813","Resende",3.52
1709,"1151709","Ribeira de Pena",7.03
104,"1160104","Arouca",0
113,"1160113","Oliveira de Azeméis",0
109,"1160109","Santa Maria da Feira",0
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alijó",0
1801,"1171801","Armamar",3.52
403,"1170403","Carrazeda de Ansiães",3.52
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",3.52
1704,"1171704","Mesão Frio",10.55
1807,"1171807","Moimenta da Beira",49.23
1812,"1171812","Penedono",24.62
1708,"1171708","Peso da Régua",3.52
1710,"1171710","Sabrosa",3.52
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",10.55
1818,"1171818","Sernancelhe",56.26
1819,"1171819","Tabuaço",17.58
1820,"1171820","Tarouca",3.52
409,"1170409","Torre de Moncorvo",10.55
410,"1170410","Vila Flor",0
914,"1170914","Vila Nova de Foz Côa",0
1714,"1171714","Vila Real",14.07
401,"1180401","Alfândega da Fé",706.81
1702,"1181702","Boticas",3.52
402,"1180402","Bragança",98.46
1703,"1181703","Chaves",28.13
405,"1180405","Macedo de Cavaleiros",77.36
406,"1180406","Miranda do Douro",10.55
407,"1180407","Mirandela",28.13
408,"1180408","Mogadouro",0
1706,"1181706","Montalegre",3.52
1707,"1181707","Murça",14.07
1712,"1181712","Valpaços",52.75
1713,"1181713","Vila Pouca de Aguiar",3.52
411,"1180411","Vimioso",17.58
412,"1180412","Vinhais",31.65
101,"1610101","Águeda",0
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",7.03
105,"1610105","Aveiro",0
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",0
111,"1610111","Mealhada",0
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",3.52
115,"1610115","Ovar",3.52
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",0
602,"1620602","Cantanhede",7.03
603,"1620603","Coimbra",0
604,"1620604","Condeixa-a-Nova",0
605,"1620605","Figueira da Foz",0
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",0
613,"1620613","Penacova",0
615,"1620615","Soure",0
1004,"1631004","Batalha",3.52
1009,"1631009","Leiria",49.23
1010,"1631010","Marinha Grande",3.52
1015,"1631015","Pombal",3.52
1016,"1631016","Porto de Mós",7.03
1002,"1641002","Alvaiázere",10.55
1003,"1641003","Ansião",0
601,"1640601","Arganil",0
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",0
609,"1640609","Miranda do Corvo",0
611,"1640611","Oliveira do Hospital",119.56
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",0
616,"1640616","Tábua",35.16
617,"1640617","Vila Nova de Poiares",0
901,"1650901","Aguiar da Beira",7.03
1802,"1651802","Carregal do Sal",49.23
1803,"1651803","Castro Daire",0
1806,"1651806","Mangualde",84.4
1808,"1651808","Mortágua",0
1809,"1651809","Nelas",10.55
1810,"1651810","Oliveira de Frades",0
1811,"1651811","Penalva do Castelo",28.13
1814,"1651814","Santa Comba Dão",7.03
1816,"1651816","São Pedro do Sul",7.03
1817,"1651817","Sátão",31.65
1821,"1651821","Tondela",38.68
1822,"1651822","Vila Nova de Paiva",10.55
1823,"1651823","Viseu",94.94
1824,"1651824","Vouzela",3.52
1413,"1661413","Mação",17.58
506,"1660506","Oleiros",7.03
508,"1660508","Proença-a-Nova",3.52
509,"1660509","Sertã",59.78
510,"1660510","Vila de Rei",7.03
905,"1670905","Fornos de Algodres",7.03
906,"1670906","Gouveia",63.3
912,"1670912","Seia",91.43
902,"1680902","Almeida",0
903,"1680903","Celorico da Beira",7.03
904,"1680904","Figueira de Castelo Rodrigo",0
907,"1680907","Guarda",14.07
908,"1680908","Manteigas",0
909,"1680909","Meda",66.81
910,"1680910","Pinhel",7.03
911,"1680911","Sabugal",0
913,"1680913","Trancoso",45.71
502,"1690502","Castelo Branco",31.65
505,"1690505","Idanha-a-Nova",618.9
507,"1690507","Penamacor",221.54
511,"1690511","Vila Velha de Ródão",10.55
501,"16A0501","Belmonte",0
503,"16A0503","Covilhã",7.03
504,"16A0504","Fundão",7.03
1001,"16B1001","Alcobaça",17.58
1101,"16B1101","Alenquer",193.41
1102,"16B1102","Arruda dos Vinhos",101.98
1005,"16B1005","Bombarral",200.44
1104,"16B1104","Cadaval",334.07
1006,"16B1006","Caldas da Rainha",147.69
1108,"16B1108","Lourinhã",35.16
1011,"16B1011","Nazaré",14.07
1012,"16B1012","Óbidos",147.69
1014,"16B1014","Peniche",3.52
1112,"16B1112","Sobral de Monte Agraço",24.62
1113,"16B1113","Torres Vedras",210.99
1401,"16C1401","Abrantes",1167.47
1402,"16C1402","Alcanena",56.26
1408,"16C1408","Constância",7.03
1410,"16C1410","Entroncamento",0
1411,"16C1411","Ferreira do Zêzere",17.58
1421,"16C1421","Ourém",10.55
1417,"16C1417","Sardoal",49.23
1418,"16C1418","Tomar",165.27
1419,"16C1419","Torres Novas",436.04
1420,"16C1420","Vila Nova da Barquinha",3.52
1115,"1711115","Amadora",0
1105,"1711105","Cascais",3.52
1106,"1711106","Lisboa",0
1107,"1711107","Loures",7.03
1109,"1711109","Mafra",77.36
1116,"1711116","Odivelas",0
1110,"1711110","Oeiras",0
1111,"1711111","Sintra",77.36
1114,"1711114","Vila Franca de Xira",98.46
1502,"1721502","Alcochete",879.12
1503,"1721503","Almada",0
1504,"1721504","Barreiro",0
1506,"1721506","Moita",0
1507,"1721507","Montijo",2004.39
1508,"1721508","Palmela",1818.02
1510,"1721510","Seixal",0
1511,"1721511","Sesimbra",358.68
1512,"1721512","Setúbal",411.43
1501,"1811501","Alcácer do Sal",44733.14
1505,"1811505","Grândola",19446.13
211,"1810211","Odemira",1213.19
1509,"1811509","Santiago do Cacém",3020.66
1513,"1811513","Sines",144.18
1201,"1821201","Alter do Chão",59.78
1202,"1821202","Arronches",130.11
1203,"1821203","Avis",1547.25
1204,"1821204","Campo Maior",288.35
1205,"1821205","Castelo de Vide",63.3
1206,"1821206","Crato",1515.6
1207,"1821207","Elvas",10.55
1208,"1821208","Fronteira",10.55
1209,"1821209","Gavião",833.41
1210,"1821210","Marvão",274.29
1211,"1821211","Monforte",70.33
707,"1820707","Mora",509.89
1212,"1821212","Nisa",453.63
1213,"1821213","Ponte de Sor",5777.58
1214,"1821214","Portalegre",151.21
701,"1830701","Alandroal",492.31
702,"1830702","Arraiolos",158.24
703,"1830703","Borba",0
704,"1830704","Estremoz",365.71
705,"1830705","Évora",284.83
706,"1830706","Montemor-o-Novo",4726.15
708,"1830708","Mourão",0
709,"1830709","Portel",457.14
710,"1830710","Redondo",327.03
711,"1830711","Reguengos de Monsaraz",0
1215,"1831215","Sousel",3.52
712,"1830712","Vendas Novas",2869.45
713,"1830713","Viana do Alentejo",249.67
714,"1830714","Vila Viçosa",70.33
201,"1840201","Aljustrel",242.64
202,"1840202","Almodôvar",52.75
203,"1840203","Alvito",84.4
204,"1840204","Barrancos",0
205,"1840205","Beja",28.13
206,"1840206","Castro Verde",351.65
207,"1840207","Cuba",0
208,"1840208","Ferreira do Alentejo",3231.65
209,"1840209","Mértola",365.71
210,"1840210","Moura",379.78
212,"1840212","Ourique",0
213,"1840213","Serpa",924.83
214,"1840214","Vidigueira",7.03
1403,"1851403","Almeirim",453.63
1404,"1851404","Alpiarça",28.13
1103,"1851103","Azambuja",559.12
1405,"1851405","Benavente",3674.72
1406,"1851406","Cartaxo",218.02
1407,"1851407","Chamusca",3738.02
1409,"1851409","Coruche",19794.27
1412,"1851412","Golegã",130.11
1414,"1851414","Rio Maior",2858.9
1415,"1851415","Salvaterra de Magos",351.65
1416,"1851416","Santarém",689.23
801,"1500801","Albufeira",14.07
802,"1500802","Alcoutim",1891.87
803,"1500803","Aljezur",499.34
804,"1500804","Castro Marim",109.01
805,"1500805","Faro",478.24
806,"1500806","Lagoa",7.03
807,"1500807","Lagos",467.69
808,"1500808","Loulé",330.55
809,"1500809","Monchique",847.47
810,"1500810","Olhão",7.03
811,"1500811","Portimão",52.75
812,"1500812","São Brás de Alportel",309.45
813,"1500813","Silves",1547.25
814,"1500814","Tavira",386.81
815,"1500815","Vila do Bispo",706.81
816,"1500816","Vila Real de Santo António",35.16
