"Muni_ID","ID","Muni","2009"
1601,"1111601","Arcos de Valdevez",2.34
1602,"1111602","Caminha",0
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0
1605,"1111605","Paredes de Coura",0
1606,"1111606","Ponte da Barca",0
1607,"1111607","Ponte de Lima",9.37
1608,"1111608","Valença",0
1609,"1111609","Viana do Castelo",4.69
1610,"1111610","Vila Nova de Cerveira",4.69
301,"1120301","Amares",9.37
302,"1120302","Barcelos",9.37
303,"1120303","Braga",21.09
306,"1120306","Esposende",0
310,"1120310","Terras de Bouro",0
313,"1120313","Vila Verde",14.06
307,"1130307","Fafe",4.69
308,"1130308","Guimarães",14.06
309,"1130309","Póvoa de Lanhoso",7.03
1314,"1131314","Santo Tirso",2.34
1318,"1131318","Trofa",2.34
311,"1130311","Vieira do Minho",2.34
312,"1130312","Vila Nova de Famalicão",11.71
314,"1130314","Vizela",4.69
107,"1140107","Espinho",0
1304,"1141304","Gondomar",2.34
1306,"1141306","Maia",2.34
1308,"1141308","Matosinhos",2.34
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",2.34
1316,"1141316","Vila do Conde",4.69
1317,"1141317","Vila Nova de Gaia",2.34
1301,"1151301","Amarante",14.06
1302,"1151302","Baião",21.09
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",2.34
305,"1150305","Celorico de Basto",2.34
1804,"1151804","Cinfães",16.4
1303,"1151303","Felgueiras",18.74
1305,"1151305","Lousada",4.69
1307,"1151307","Marco de Canaveses",7.03
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",0
1310,"1151310","Paredes",4.69
1311,"1151311","Penafiel",16.4
1813,"1151813","Resende",58.58
1709,"1151709","Ribeira de Pena",0
104,"1160104","Arouca",7.03
113,"1160113","Oliveira de Azeméis",2.34
109,"1160109","Santa Maria da Feira",0
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",2.34
1701,"1171701","Alijó",4.69
1801,"1171801","Armamar",35.15
403,"1170403","Carrazeda de Ansiães",4.69
404,"1170404","Freixo de Espada à Cinta",7.03
1805,"1171805","Lamego",56.23
1704,"1171704","Mesão Frio",2.34
1807,"1171807","Moimenta da Beira",18.74
1812,"1171812","Penedono",14.06
1708,"1171708","Peso da Régua",2.34
1710,"1171710","Sabrosa",7.03
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",2.34
1818,"1171818","Sernancelhe",37.49
1819,"1171819","Tabuaço",11.71
1820,"1171820","Tarouca",44.52
409,"1170409","Torre de Moncorvo",65.6
410,"1170410","Vila Flor",100.75
914,"1170914","Vila Nova de Foz Côa",21.09
1714,"1171714","Vila Real",16.4
401,"1180401","Alfândega da Fé",18.74
1702,"1181702","Boticas",2.34
402,"1180402","Bragança",30.46
1703,"1181703","Chaves",49.2
405,"1180405","Macedo de Cavaleiros",70.29
406,"1180406","Miranda do Douro",16.4
407,"1180407","Mirandela",400.65
408,"1180408","Mogadouro",25.77
1706,"1181706","Montalegre",0
1707,"1181707","Murça",30.46
1712,"1181712","Valpaços",100.75
1713,"1181713","Vila Pouca de Aguiar",9.37
411,"1180411","Vimioso",14.06
412,"1180412","Vinhais",9.37
101,"1610101","Águeda",9.37
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",4.69
105,"1610105","Aveiro",2.34
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",2.34
111,"1610111","Mealhada",7.03
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",4.69
115,"1610115","Ovar",0
117,"1610117","Sever do Vouga",23.43
118,"1610118","Vagos",0
602,"1620602","Cantanhede",11.71
603,"1620603","Coimbra",14.06
604,"1620604","Condeixa-a-Nova",4.69
605,"1620605","Figueira da Foz",2.34
608,"1620608","Mira",2.34
610,"1620610","Montemor-o-Velho",2.34
613,"1620613","Penacova",0
615,"1620615","Soure",4.69
1004,"1631004","Batalha",7.03
1009,"1631009","Leiria",32.8
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",4.69
1016,"1631016","Porto de Mós",9.37
1002,"1641002","Alvaiázere",2.34
1003,"1641003","Ansião",0
601,"1640601","Arganil",2.34
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",2.34
606,"1640606","Góis",0
607,"1640607","Lousã",0
609,"1640609","Miranda do Corvo",4.69
611,"1640611","Oliveira do Hospital",9.37
612,"1640612","Pampilhosa da Serra",39.83
1013,"1641013","Pedrógão Grande",4.69
