Muni_ID,ID,Muni,irrig_leach_kgN,irrig_leach_nha
1601,1111601,Arcos de Valdevez,0,0
1602,1111602,Caminha,0,0
1603,1111603,Melgaço,0,0
1604,1111604,Monção,1689.232,0.2484
1605,1111605,Paredes de Coura,0,0
1606,1111606,Ponte da Barca,0,0
1607,1111607,Ponte de Lima,2701.31999999999,0.3055
1608,1111608,Valença,0,0
1609,1111609,Viana do Castelo,8310.563,1.175
1610,1111610,Vila Nova de Cerveira,715.826999999999,0.5214
301,1120301,Amares,0,0
302,1120302,Barcelos,41427.73,3.7713
303,1120303,Braga,1983.686,0.5377
306,1120306,Esposende,19733.557,9.3702
310,1120310,Terras de Bouro,0,0
313,1120313,Vila Verde,0,0
307,1130307,Fafe,0,0
308,1130308,Guimarães,0,0
309,1130309,Póvoa de Lanhoso,0,0
1314,1131314,Santo Tirso,0,0
1318,1131318,Trofa,0,0
311,1130311,Vieira do Minho,0,0
312,1130312,Vila Nova de Famalicão,0,0
314,1130314,Vizela,0,0
107,1140107,Espinho,0,0
1304,1141304,Gondomar,0,0
1306,1141306,Maia,0,0
1308,1141308,Matosinhos,0,0
1312,1141312,Porto,0,0
1313,1141313,Póvoa de Varzim,76541.67,23.0131
1315,1141315,Valongo,0,0
1316,1141316,Vila do Conde,0,0
1317,1141317,Vila Nova de Gaia,0,0
1301,1151301,Amarante,0,0
1302,1151302,Baião,0,0
304,1150304,Cabeceiras de Basto,0,0
106,1150106,Castelo de Paiva,365.949999999999,0.2719
305,1150305,Celorico de Basto,0,0
1804,1151804,Cinfães,0,0
1303,1151303,Felgueiras,0,0
1305,1151305,Lousada,0,0
1307,1151307,Marco de Canaveses,0,0
1705,1151705,Mondim de Basto,0,0
1309,1151309,Paços de Ferreira,0,0
1310,1151310,Paredes,0,0
1311,1151311,Penafiel,0,0
1813,1151813,Resende,0,0
1709,1151709,Ribeira de Pena,0,0
104,1160104,Arouca,0,0
113,1160113,Oliveira de Azeméis,0,0
109,1160109,Santa Maria da Feira,0,0
116,1160116,São João da Madeira,0,
119,1160119,Vale de Cambra,0,0
1701,1171701,Alijó,0,0
1801,1171801,Armamar,0,0
403,1170403,Carrazeda de Ansiães,0,0
404,1170404,Freixo de Espada à Cinta,0,0
1805,1171805,Lamego,0,0
1704,1171704,Mesão Frio,0,0
1807,1171807,Moimenta da Beira,0,0
1812,1171812,Penedono,0,0
1708,1171708,Peso da Régua,0,0
1710,1171710,Sabrosa,0,0
1711,1171711,Santa Marta de Penaguião,0,0
1815,1171815,São João da Pesqueira,0,0
1818,1171818,Sernancelhe,0,0
1819,1171819,Tabuaço,0,0
1820,1171820,Tarouca,0,0
409,1170409,Torre de Moncorvo,0,0
410,1170410,Vila Flor,0,0
914,1170914,Vila Nova de Foz Côa,0,0
1714,1171714,Vila Real,0,0
401,1180401,Alfândega da Fé,0,0
1702,1181702,Boticas,1702.628,0.123
402,1180402,Bragança,13245.356,0.3676
1703,1181703,Chaves,0,0
405,1180405,Macedo de Cavaleiros,0,0
406,1180406,Miranda do Douro,0,0
407,1180407,Mirandela,0,0
408,1180408,Mogadouro,0,0
1706,1181706,Montalegre,0,0
1707,1181707,Murça,804.799,0.1694
1712,1181712,Valpaços,0,0
1713,1181713,Vila Pouca de Aguiar,0,0
411,1180411,Vimioso,0,0
412,1180412,Vinhais,0,0
101,1610101,Águeda,8106.343,4.2598
102,1610102,Albergaria-a-Velha,2035.536,0.9679
103,1610103,Anadia,540.677,0.1569
105,1610105,Aveiro,4729.175,1.951
108,1610108,Estarreja,36700.314,11.5664
110,1610110,Ílhavo,1473.205,1.7922
111,1610111,Mealhada,1635.239,0.9574
112,1610112,Murtosa,0,0
114,1610114,Oliveira do Bairro,10036.211,5.6415
115,1610115,Ovar,0,0
117,1610117,Sever do Vouga,4790.249,7.3924
118,1610118,Vagos,4391.589,1.7489
602,1620602,Cantanhede,12314.841,2.1324
603,1620603,Coimbra,34405.723,6.6267
