"Muni_ID","ID","Muni","orange"
1601,"1111601","Arcos de Valdevez",0
1602,"1111602","Caminha",7.49
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0
1605,"1111605","Paredes de Coura",0
1606,"1111606","Ponte da Barca",13.53
1607,"1111607","Ponte de Lima",7.41
1608,"1111608","Valença",0
1609,"1111609","Viana do Castelo",25.62
1610,"1111610","Vila Nova de Cerveira",0
301,"1120301","Amares",0
302,"1120302","Barcelos",17.44
303,"1120303","Braga",28.24
306,"1120306","Esposende",0
310,"1120310","Terras de Bouro",0.74
313,"1120313","Vila Verde",0.87
307,"1130307","Fafe",0.75
308,"1130308","Guimarães",31.47
309,"1130309","Póvoa de Lanhoso",0.53
1314,"1131314","Santo Tirso",17.45
1318,"1131318","Trofa",1.97
311,"1130311","Vieira do Minho",0.1
312,"1130312","Vila Nova de Famalicão",49.63
314,"1130314","Vizela",0
107,"1140107","Espinho",0
1304,"1141304","Gondomar",3.75
1306,"1141306","Maia",2.21
1308,"1141308","Matosinhos",1.04
1312,"1141312","Porto",0
1313,"1141313","Póvoa de Varzim",0
1315,"1141315","Valongo",1.39
1316,"1141316","Vila do Conde",1.85
1317,"1141317","Vila Nova de Gaia",5.55
1301,"1151301","Amarante",4.15
1302,"1151302","Baião",0
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",0
305,"1150305","Celorico de Basto",0.38
1804,"1151804","Cinfães",0
1303,"1151303","Felgueiras",1.44
1305,"1151305","Lousada",0.51
1307,"1151307","Marco de Canaveses",35.21
1705,"1151705","Mondim de Basto",0
1309,"1151309","Paços de Ferreira",3.56
1310,"1151310","Paredes",2.71
1311,"1151311","Penafiel",0
1813,"1151813","Resende",0.68
1709,"1151709","Ribeira de Pena",0
104,"1160104","Arouca",2.73
113,"1160113","Oliveira de Azeméis",1.05
109,"1160109","Santa Maria da Feira",0
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",0
1701,"1171701","Alijó",1.73
1801,"1171801","Armamar",1.79
403,"1170403","Carrazeda de Ansiães",0.28
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",3.22
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",0
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",5.07
1710,"1171710","Sabrosa",0.41
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",1.24
1818,"1171818","Sernancelhe",0
1819,"1171819","Tabuaço",0.91
1820,"1171820","Tarouca",0
409,"1170409","Torre de Moncorvo",19.51
410,"1170410","Vila Flor",0.04
914,"1170914","Vila Nova de Foz Côa",3.68
1714,"1171714","Vila Real",4.43
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",0
402,"1180402","Bragança",0
1703,"1181703","Chaves",0
405,"1180405","Macedo de Cavaleiros",0
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",1.86
408,"1180408","Mogadouro",0
1706,"1181706","Montalegre",0
1707,"1181707","Murça",0
1712,"1181712","Valpaços",0.03
1713,"1181713","Vila Pouca de Aguiar",0
411,"1180411","Vimioso",0
412,"1180412","Vinhais",0
101,"1610101","Águeda",1.09
102,"1610102","Albergaria-a-Velha",0
103,"1610103","Anadia",0
105,"1610105","Aveiro",21.88
108,"1610108","Estarreja",0
110,"1610110","Ílhavo",12.92
111,"1610111","Mealhada",7.64
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",0.53
115,"1610115","Ovar",0
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",0
602,"1620602","Cantanhede",0.61
603,"1620603","Coimbra",172.76
604,"1620604","Condeixa-a-Nova",5.1
605,"1620605","Figueira da Foz",20.34
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",0.03
613,"1620613","Penacova",2.81
615,"1620615","Soure",7.48
1004,"1631004","Batalha",0.08
1009,"1631009","Leiria",43.01
1010,"1631010","Marinha Grande",0
1015,"1631015","Pombal",30.11
1016,"1631016","Porto de Mós",0
1002,"1641002","Alvaiázere",0
1003,"1641003","Ansião",0.31
601,"1640601","Arganil",0
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",0.3
609,"1640609","Miranda do Corvo",0
611,"1640611","Oliveira do Hospital",0.58
612,"1640612","Pampilhosa da Serra",0
1013,"1641013","Pedrógão Grande",0
614,"1640614","Penela",0
616,"1640616","Tábua",0
617,"1640617","Vila Nova de Poiares",0
901,"1650901","Aguiar da Beira",0
1802,"1651802","Carregal do Sal",0
1803,"1651803","Castro Daire",0
1806,"1651806","Mangualde",0
1808,"1651808","Mortágua",0
1809,"1651809","Nelas",0
1810,"1651810","Oliveira de Frades",0.92
1811,"1651811","Penalva do Castelo",0
1814,"1651814","Santa Comba Dão",0.13
1816,"1651816","São Pedro do Sul",4.76
1817,"1651817","Sátão",0
1821,"1651821","Tondela",42.86
1822,"1651822","Vila Nova de Paiva",0
1823,"1651823","Viseu",2.52
1824,"1651824","Vouzela",0
1413,"1661413","Mação",0
506,"1660506","Oleiros",0
508,"1660508","Proença-a-Nova",0
509,"1660509","Sertã",0
510,"1660510","Vila de Rei",0
905,"1670905","Fornos de Algodres",0
906,"1670906","Gouveia",0
912,"1670912","Seia",0.76
902,"1680902","Almeida",0
